timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,763.0,864.0,756.0,539.0
100.0,763.0,864.0,756.0,539.0
200.0,763.0,864.0,755.0,539.0
300.0,763.0,865.0,756.0,540.0
400.0,763.0,864.0,757.0,539.0
500.0,763.0,865.0,756.0,539.0
600.0,764.0,864.0,757.0,539.0
700.0,763.0,865.0,756.0,540.0
800.0,763.0,864.0,757.0,541.0
900.0,764.0,865.0,757.0,540.0
1000.0,763.0,864.0,757.0,540.0
1100.0,763.0,864.0,756.0,541.0
1200.0,763.0,865.0,757.0,541.0
1300.0,764.0,864.0,756.0,542.0
1400.0,764.0,865.0,757.0,541.0
1500.0,763.0,865.0,758.0,543.0
1600.0,763.0,864.0,757.0,541.0
1700.0,764.0,865.0,758.0,543.0
1800.0,763.0,865.0,757.0,543.0
1900.0,763.0,865.0,757.0,543.0
2000.0,763.0,865.0,757.0,544.0
2100.0,764.0,866.0,758.0,543.0
2200.0,764.0,864.0,757.0,544.0
2300.0,764.0,865.0,757.0,543.0
2400.0,763.0,865.0,757.0,544.0
2500.0,764.0,865.0,758.0,543.0
2600.0,764.0,864.0,758.0,545.0
2700.0,763.0,865.0,758.0,543.0
2800.0,764.0,865.0,758.0,544.0
2900.0,764.0,866.0,758.0,545.0
3000.0,763.0,865.0,758.0,544.0
3100.0,764.0,865.0,758.0,544.0
3200.0,764.0,866.0,758.0,544.0
3300.0,764.0,866.0,759.0,544.0
3400.0,764.0,865.0,758.0,544.0
3500.0,763.0,866.0,759.0,545.0
3600.0,764.0,865.0,759.0,546.0
3700.0,764.0,866.0,759.0,546.0
3800.0,765.0,866.0,759.0,547.0
3900.0,765.0,865.0,760.0,546.0
4000.0,764.0,866.0,760.0,548.0
4100.0,764.0,867.0,759.0,546.0
4200.0,765.0,866.0,760.0,547.0
4300.0,764.0,866.0,760.0,549.0
4400.0,765.0,866.0,760.0,549.0
4500.0,765.0,867.0,760.0,547.0
4600.0,765.0,866.0,760.0,548.0
4700.0,765.0,867.0,760.0,549.0
4800.0,765.0,866.0,760.0,550.0
4900.0,766.0,866.0,761.0,549.0
5000.0,765.0,866.0,761.0,548.0
5100.0,765.0,867.0,760.0,550.0
5200.0,765.0,866.0,760.0,551.0
5300.0,765.0,867.0,761.0,550.0
5400.0,766.0,867.0,760.0,551.0
5500.0,765.0,867.0,762.0,551.0
5600.0,765.0,867.0,762.0,551.0
5700.0,765.0,867.0,761.0,551.0
5800.0,765.0,867.0,760.0,549.0
5900.0,765.0,867.0,762.0,549.0
6000.0,766.0,867.0,762.0,550.0
6100.0,766.0,867.0,761.0,549.0
6200.0,766.0,867.0,761.0,548.0
6300.0,765.0,867.0,762.0,550.0
6400.0,766.0,867.0,761.0,551.0
6500.0,766.0,867.0,762.0,548.0
6600.0,766.0,868.0,761.0,550.0
6700.0,765.0,867.0,761.0,550.0
6800.0,765.0,867.0,763.0,550.0
6900.0,765.0,867.0,762.0,550.0
7000.0,765.0,868.0,762.0,549.0
7100.0,765.0,867.0,763.0,551.0
7200.0,766.0,868.0,762.0,550.0
7300.0,766.0,867.0,763.0,551.0
7400.0,766.0,868.0,762.0,550.0
7500.0,765.0,868.0,763.0,551.0
7600.0,766.0,868.0,762.0,551.0
7700.0,766.0,868.0,762.0,551.0
7800.0,766.0,868.0,763.0,551.0
7900.0,766.0,868.0,763.0,552.0
8000.0,766.0,867.0,762.0,552.0
8100.0,766.0,868.0,763.0,552.0
8200.0,766.0,868.0,763.0,552.0
8300.0,766.0,869.0,764.0,551.0
8400.0,766.0,869.0,763.0,552.0
8500.0,766.0,868.0,763.0,553.0
8600.0,766.0,868.0,763.0,553.0
8700.0,766.0,868.0,764.0,552.0
8800.0,766.0,868.0,763.0,553.0
8900.0,766.0,869.0,763.0,552.0
9000.0,767.0,868.0,764.0,552.0
9100.0,766.0,869.0,764.0,552.0
9200.0,767.0,869.0,764.0,551.0
9300.0,767.0,868.0,764.0,550.0
9400.0,766.0,869.0,763.0,550.0
