timestamp_ms,NO2,C2H5CH,VOC,CO
17500.0,823.0,920.0,795.0,373.0
17600.0,823.0,921.0,796.0,374.0
17700.0,824.0,921.0,797.0,374.0
17800.0,823.0,921.0,797.0,373.0
17900.0,824.0,921.0,797.0,373.0
18000.0,824.0,922.0,797.0,373.0
18100.0,824.0,921.0,796.0,374.0
18200.0,824.0,921.0,796.0,373.0
18300.0,823.0,921.0,797.0,375.0
18400.0,824.0,922.0,797.0,375.0
18500.0,824.0,921.0,797.0,375.0
18600.0,823.0,921.0,797.0,375.0
18700.0,824.0,922.0,797.0,376.0
18800.0,823.0,921.0,797.0,375.0
18900.0,824.0,922.0,797.0,376.0
19000.0,824.0,922.0,798.0,375.0
19100.0,824.0,922.0,798.0,375.0
19200.0,824.0,921.0,798.0,376.0
19300.0,824.0,922.0,797.0,376.0
19400.0,824.0,921.0,798.0,377.0
19500.0,825.0,922.0,798.0,376.0
19600.0,824.0,922.0,799.0,377.0
19700.0,823.0,922.0,799.0,377.0
19800.0,825.0,922.0,798.0,377.0
19900.0,824.0,922.0,798.0,378.0
20000.0,824.0,922.0,799.0,377.0
20100.0,824.0,922.0,798.0,379.0
20200.0,824.0,922.0,799.0,379.0
20300.0,824.0,922.0,799.0,378.0
20400.0,824.0,922.0,799.0,378.0
20500.0,824.0,922.0,799.0,379.0
20600.0,824.0,922.0,798.0,378.0
20700.0,824.0,922.0,799.0,379.0
20800.0,824.0,922.0,799.0,379.0
20900.0,824.0,923.0,799.0,380.0
21000.0,824.0,922.0,800.0,379.0
21100.0,824.0,922.0,799.0,381.0
21200.0,825.0,922.0,799.0,381.0
21300.0,824.0,922.0,800.0,381.0
21400.0,824.0,922.0,800.0,382.0
21500.0,824.0,923.0,800.0,380.0
21600.0,824.0,922.0,800.0,381.0
21700.0,825.0,922.0,800.0,381.0
21800.0,825.0,923.0,800.0,381.0
21900.0,824.0,922.0,800.0,382.0
22000.0,825.0,923.0,801.0,382.0
22100.0,824.0,923.0,800.0,380.0
22200.0,825.0,923.0,800.0,381.0
22300.0,826.0,921.0,800.0,382.0
22400.0,825.0,923.0,800.0,382.0
22500.0,825.0,923.0,801.0,382.0
22600.0,825.0,923.0,800.0,382.0
22700.0,824.0,922.0,802.0,382.0
22800.0,825.0,922.0,801.0,383.0
22900.0,825.0,923.0,801.0,383.0
23000.0,825.0,923.0,801.0,384.0
23100.0,825.0,922.0,802.0,382.0
23200.0,825.0,923.0,801.0,383.0
23300.0,824.0,923.0,801.0,384.0
23400.0,826.0,922.0,801.0,383.0
23500.0,825.0,923.0,801.0,383.0
23600.0,825.0,922.0,802.0,384.0
23700.0,824.0,923.0,802.0,385.0
23800.0,826.0,922.0,802.0,383.0
23900.0,825.0,923.0,803.0,385.0
24000.0,825.0,922.0,803.0,385.0
24100.0,825.0,924.0,802.0,385.0
24200.0,826.0,923.0,803.0,386.0
24300.0,826.0,923.0,803.0,385.0
24400.0,825.0,922.0,803.0,385.0
24500.0,825.0,923.0,803.0,386.0
24600.0,825.0,923.0,804.0,386.0
24700.0,826.0,923.0,803.0,385.0
24800.0,826.0,923.0,803.0,386.0
24900.0,826.0,923.0,803.0,387.0
25000.0,825.0,923.0,802.0,386.0
25100.0,826.0,924.0,804.0,386.0
25200.0,826.0,924.0,803.0,387.0
25300.0,825.0,924.0,803.0,388.0
25400.0,825.0,923.0,804.0,387.0
25500.0,825.0,922.0,803.0,386.0
25600.0,826.0,922.0,804.0,387.0
25700.0,826.0,923.0,804.0,387.0
25800.0,825.0,923.0,804.0,389.0
25900.0,826.0,923.0,804.0,389.0
26000.0,825.0,924.0,805.0,388.0
26100.0,825.0,923.0,804.0,389.0
26200.0,825.0,923.0,804.0,387.0
26300.0,825.0,923.0,804.0,389.0
26400.0,826.0,924.0,804.0,390.0
26500.0,826.0,923.0,805.0,391.0
26600.0,826.0,923.0,804.0,389.0
26700.0,825.0,923.0,804.0,389.0
26800.0,825.0,923.0,805.0,388.0
26900.0,826.0,924.0,804.0,390.0
27000.0,826.0,924.0,805.0,390.0
27100.0,827.0,923.0,805.0,390.0
27200.0,826.0,924.0,805.0,390.0
27300.0,826.0,923.0,806.0,390.0
27400.0,826.0,924.0,805.0,391.0
27500.0,826.0,924.0,806.0,390.0
27600.0,826.0,924.0,805.0,392.0
27700.0,826.0,924.0,806.0,391.0
27800.0,826.0,924.0,805.0,390.0
27900.0,826.0,923.0,806.0,391.0
28000.0,825.0,924.0,805.0,392.0
28100.0,826.0,924.0,806.0,391.0
28200.0,826.0,924.0,805.0,392.0
28300.0,826.0,923.0,805.0,392.0
28400.0,826.0,924.0,807.0,392.0
28500.0,826.0,923.0,806.0,392.0
28600.0,827.0,924.0,806.0,393.0
28700.0,826.0,924.0,806.0,394.0
28800.0,826.0,924.0,806.0,393.0
28900.0,826.0,924.0,806.0,394.0
29000.0,826.0,925.0,806.0,394.0
29100.0,825.0,924.0,807.0,394.0
29200.0,826.0,924.0,807.0,394.0
29300.0,827.0,924.0,807.0,395.0
29400.0,826.0,925.0,807.0,394.0
29500.0,826.0,924.0,807.0,394.0
29600.0,826.0,924.0,807.0,393.0
29700.0,827.0,924.0,807.0,395.0
29800.0,826.0,924.0,807.0,394.0
29900.0,827.0,924.0,808.0,394.0
30000.0,826.0,924.0,807.0,395.0
30100.0,827.0,924.0,808.0,394.0
30200.0,826.0,925.0,808.0,396.0
30300.0,827.0,924.0,808.0,396.0
30400.0,827.0,924.0,808.0,394.0
30500.0,827.0,924.0,808.0,395.0
30600.0,826.0,924.0,808.0,398.0
30700.0,827.0,924.0,808.0,396.0
30800.0,826.0,925.0,809.0,398.0
30900.0,827.0,924.0,808.0,397.0
31000.0,826.0,925.0,809.0,395.0
31100.0,826.0,924.0,808.0,396.0
31200.0,827.0,925.0,808.0,397.0
31300.0,827.0,925.0,808.0,397.0
31400.0,826.0,924.0,809.0,399.0
31500.0,827.0,924.0,808.0,397.0
31600.0,826.0,924.0,809.0,397.0
31700.0,827.0,925.0,809.0,399.0
31800.0,827.0,925.0,809.0,399.0
31900.0,826.0,924.0,809.0,398.0
32000.0,826.0,925.0,809.0,400.0
32100.0,827.0,925.0,810.0,398.0
32200.0,827.0,926.0,809.0,398.0
32300.0,827.0,924.0,809.0,398.0
32400.0,827.0,925.0,810.0,399.0
32500.0,827.0,924.0,809.0,399.0
32600.0,828.0,925.0,809.0,399.0
32700.0,827.0,924.0,809.0,400.0
32800.0,827.0,926.0,810.0,399.0
32900.0,826.0,925.0,809.0,399.0
33000.0,826.0,924.0,810.0,400.0
33100.0,827.0,925.0,809.0,401.0
33200.0,827.0,926.0,810.0,400.0
33300.0,828.0,925.0,810.0,401.0
33400.0,826.0,925.0,809.0,401.0
33500.0,827.0,925.0,810.0,401.0
33600.0,827.0,926.0,810.0,400.0
33700.0,828.0,925.0,810.0,401.0
33800.0,827.0,924.0,811.0,401.0
33900.0,828.0,926.0,811.0,401.0
34000.0,828.0,925.0,811.0,400.0
34100.0,827.0,925.0,810.0,402.0
34200.0,827.0,925.0,811.0,403.0
34300.0,827.0,926.0,811.0,403.0
34400.0,827.0,925.0,811.0,403.0
34500.0,828.0,925.0,811.0,401.0
34600.0,828.0,925.0,812.0,402.0
34700.0,828.0,924.0,812.0,404.0
34800.0,827.0,925.0,811.0,403.0
34900.0,827.0,926.0,811.0,403.0
35000.0,828.0,925.0,812.0,403.0
35100.0,827.0,925.0,812.0,404.0
35200.0,828.0,926.0,812.0,404.0
35300.0,828.0,925.0,811.0,404.0
35400.0,828.0,926.0,811.0,403.0
35500.0,828.0,926.0,812.0,405.0
35600.0,828.0,926.0,811.0,404.0
35700.0,828.0,925.0,811.0,404.0
35800.0,827.0,926.0,812.0,405.0
35900.0,828.0,925.0,812.0,406.0
36000.0,827.0,925.0,812.0,405.0
36100.0,828.0,925.0,812.0,406.0
36200.0,828.0,926.0,813.0,404.0
36300.0,828.0,925.0,812.0,406.0
36400.0,828.0,926.0,812.0,406.0
36500.0,827.0,926.0,812.0,405.0
36600.0,828.0,926.0,813.0,405.0
36700.0,827.0,926.0,813.0,407.0
36800.0,827.0,925.0,813.0,406.0
36900.0,828.0,926.0,813.0,406.0
37000.0,828.0,926.0,813.0,405.0
37100.0,828.0,925.0,813.0,406.0
37200.0,827.0,925.0,813.0,406.0
37300.0,828.0,925.0,813.0,408.0
37400.0,828.0,925.0,814.0,408.0
37500.0,828.0,926.0,813.0,408.0
37600.0,828.0,926.0,813.0,407.0
37700.0,828.0,926.0,813.0,408.0
37800.0,827.0,926.0,813.0,409.0
37900.0,828.0,925.0,813.0,408.0
38000.0,828.0,926.0,813.0,409.0
38100.0,828.0,926.0,814.0,409.0
38200.0,828.0,926.0,814.0,408.0
38300.0,829.0,926.0,814.0,409.0
38400.0,827.0,927.0,813.0,409.0
38500.0,828.0,926.0,814.0,409.0
38600.0,828.0,925.0,814.0,408.0
38700.0,829.0,926.0,814.0,411.0
38800.0,827.0,926.0,814.0,410.0
38900.0,828.0,926.0,814.0,409.0
39000.0,828.0,927.0,815.0,410.0
39100.0,828.0,926.0,815.0,410.0
39200.0,828.0,925.0,815.0,411.0
39300.0,828.0,925.0,814.0,411.0
39400.0,828.0,926.0,814.0,411.0
39500.0,828.0,926.0,815.0,411.0
39600.0,828.0,927.0,815.0,410.0
39700.0,828.0,926.0,815.0,412.0
39800.0,829.0,926.0,815.0,412.0
39900.0,828.0,926.0,815.0,413.0
40000.0,829.0,926.0,815.0,413.0
40100.0,829.0,926.0,815.0,413.0
40200.0,829.0,927.0,815.0,413.0
40300.0,828.0,927.0,815.0,412.0
40400.0,828.0,926.0,815.0,411.0
40500.0,828.0,925.0,815.0,412.0
40600.0,828.0,927.0,814.0,413.0
40700.0,828.0,927.0,815.0,412.0
40800.0,829.0,926.0,815.0,413.0
40900.0,829.0,926.0,815.0,412.0
41000.0,828.0,927.0,815.0,413.0
41100.0,828.0,927.0,815.0,414.0
41200.0,829.0,927.0,816.0,414.0
41300.0,829.0,926.0,816.0,414.0
41400.0,828.0,926.0,816.0,415.0
41500.0,829.0,926.0,816.0,415.0
41600.0,828.0,927.0,816.0,416.0
41700.0,829.0,927.0,816.0,414.0
41800.0,828.0,927.0,816.0,415.0
41900.0,829.0,927.0,817.0,415.0
42000.0,828.0,926.0,816.0,415.0
42100.0,829.0,927.0,816.0,416.0
42200.0,828.0,926.0,817.0,417.0
42300.0,828.0,927.0,816.0,414.0
42400.0,829.0,927.0,816.0,415.0
42500.0,828.0,926.0,817.0,416.0
42600.0,829.0,926.0,817.0,416.0
42700.0,829.0,926.0,818.0,416.0
42800.0,829.0,927.0,818.0,416.0
42900.0,829.0,927.0,817.0,418.0
43000.0,829.0,926.0,817.0,416.0
43100.0,829.0,927.0,818.0,417.0
43200.0,829.0,926.0,816.0,420.0
43300.0,828.0,927.0,817.0,418.0
43400.0,829.0,927.0,818.0,417.0
43500.0,828.0,926.0,817.0,418.0
43600.0,829.0,927.0,817.0,418.0
43700.0,829.0,927.0,817.0,418.0
43800.0,829.0,927.0,818.0,418.0
43900.0,829.0,926.0,818.0,419.0
44000.0,828.0,927.0,818.0,419.0
44100.0,829.0,927.0,817.0,418.0
44200.0,829.0,927.0,817.0,420.0
44300.0,829.0,927.0,818.0,419.0
44400.0,829.0,927.0,818.0,418.0
44500.0,829.0,927.0,818.0,421.0
44600.0,828.0,927.0,817.0,419.0
44700.0,829.0,927.0,817.0,420.0
44800.0,829.0,927.0,818.0,421.0
44900.0,830.0,927.0,818.0,418.0
45000.0,829.0,927.0,819.0,421.0
45100.0,830.0,927.0,818.0,420.0
45200.0,830.0,927.0,819.0,421.0
45300.0,829.0,927.0,818.0,421.0
45400.0,830.0,928.0,819.0,422.0
45500.0,829.0,927.0,818.0,421.0
45600.0,830.0,927.0,818.0,422.0
45700.0,829.0,927.0,818.0,421.0
45800.0,829.0,927.0,819.0,420.0
45900.0,828.0,927.0,818.0,423.0
46000.0,829.0,927.0,819.0,422.0
46100.0,829.0,928.0,819.0,423.0
46200.0,830.0,927.0,819.0,423.0
46300.0,829.0,928.0,820.0,423.0
46400.0,829.0,927.0,819.0,422.0
46500.0,829.0,928.0,819.0,423.0
46600.0,830.0,927.0,819.0,423.0
46700.0,829.0,927.0,820.0,423.0
46800.0,829.0,927.0,819.0,423.0
46900.0,829.0,927.0,819.0,424.0
47000.0,830.0,927.0,819.0,424.0
47100.0,829.0,927.0,819.0,425.0
47200.0,830.0,928.0,819.0,425.0
47300.0,830.0,927.0,819.0,425.0
47400.0,830.0,927.0,820.0,425.0
47500.0,830.0,928.0,820.0,426.0
47600.0,829.0,927.0,820.0,424.0
47700.0,830.0,928.0,819.0,425.0
47800.0,830.0,927.0,820.0,424.0
47900.0,830.0,928.0,819.0,424.0
48000.0,829.0,927.0,820.0,425.0
48100.0,830.0,928.0,820.0,427.0
48200.0,830.0,928.0,821.0,426.0
48300.0,830.0,928.0,820.0,426.0
48400.0,829.0,927.0,821.0,425.0
48500.0,829.0,927.0,820.0,426.0
48600.0,830.0,927.0,820.0,426.0
48700.0,830.0,927.0,819.0,427.0
48800.0,830.0,928.0,821.0,426.0
48900.0,829.0,928.0,821.0,428.0
49000.0,830.0,928.0,820.0,427.0
49100.0,830.0,927.0,821.0,428.0
49200.0,829.0,928.0,822.0,428.0
49300.0,830.0,928.0,821.0,428.0
49400.0,830.0,928.0,821.0,429.0
49500.0,830.0,928.0,821.0,428.0
49600.0,830.0,927.0,820.0,428.0
49700.0,829.0,927.0,821.0,428.0
49800.0,830.0,928.0,821.0,429.0
49900.0,830.0,928.0,820.0,427.0
50000.0,829.0,927.0,821.0,429.0
50100.0,830.0,928.0,822.0,430.0
50200.0,830.0,928.0,821.0,430.0
50300.0,829.0,927.0,820.0,429.0
50400.0,830.0,928.0,821.0,429.0
50500.0,831.0,928.0,821.0,430.0
50600.0,831.0,928.0,822.0,430.0
50700.0,830.0,928.0,821.0,429.0
50800.0,830.0,928.0,822.0,430.0
50900.0,829.0,928.0,822.0,430.0
51000.0,830.0,928.0,822.0,431.0
51100.0,829.0,928.0,822.0,431.0
51200.0,830.0,928.0,821.0,430.0
51300.0,829.0,928.0,822.0,431.0
51400.0,830.0,928.0,823.0,430.0
51500.0,830.0,928.0,822.0,431.0
51600.0,829.0,928.0,822.0,432.0
51700.0,830.0,928.0,822.0,431.0
51800.0,830.0,928.0,822.0,432.0
51900.0,830.0,928.0,822.0,433.0
52000.0,830.0,928.0,823.0,433.0
52100.0,829.0,928.0,822.0,432.0
52200.0,830.0,928.0,823.0,433.0
52300.0,830.0,928.0,822.0,433.0
52400.0,831.0,928.0,823.0,433.0
52500.0,830.0,928.0,823.0,434.0
52600.0,831.0,928.0,822.0,434.0
52700.0,830.0,928.0,823.0,433.0
52800.0,831.0,928.0,822.0,433.0
52900.0,831.0,928.0,823.0,434.0
53000.0,830.0,929.0,822.0,433.0
53100.0,830.0,928.0,822.0,435.0
53200.0,830.0,928.0,823.0,435.0
53300.0,830.0,928.0,822.0,434.0
53400.0,830.0,929.0,822.0,434.0
53500.0,831.0,928.0,822.0,435.0
53600.0,831.0,928.0,823.0,435.0
53700.0,831.0,928.0,823.0,437.0
53800.0,830.0,928.0,824.0,435.0
53900.0,831.0,928.0,823.0,434.0
54000.0,830.0,929.0,824.0,436.0
54100.0,830.0,928.0,824.0,435.0
54200.0,831.0,928.0,823.0,436.0
54300.0,831.0,928.0,824.0,435.0
54400.0,831.0,928.0,823.0,437.0
54500.0,831.0,929.0,823.0,435.0
54600.0,830.0,929.0,824.0,436.0
54700.0,830.0,929.0,824.0,437.0
54800.0,831.0,928.0,824.0,437.0
54900.0,831.0,928.0,824.0,437.0
55000.0,831.0,928.0,824.0,438.0
55100.0,830.0,928.0,824.0,438.0
55200.0,830.0,928.0,824.0,438.0
55300.0,831.0,928.0,825.0,438.0
55400.0,831.0,929.0,824.0,438.0
55500.0,830.0,929.0,824.0,439.0
55600.0,831.0,928.0,824.0,438.0
55700.0,830.0,929.0,824.0,438.0
55800.0,831.0,928.0,824.0,438.0
55900.0,830.0,928.0,825.0,439.0
56000.0,831.0,928.0,824.0,439.0
56100.0,830.0,929.0,824.0,440.0
56200.0,831.0,929.0,825.0,441.0
56300.0,831.0,930.0,824.0,440.0
56400.0,830.0,929.0,824.0,440.0
56500.0,831.0,929.0,824.0,440.0
56600.0,832.0,928.0,825.0,441.0
56700.0,831.0,929.0,824.0,441.0
56800.0,831.0,929.0,825.0,441.0
56900.0,831.0,929.0,825.0,442.0
57000.0,831.0,929.0,824.0,441.0
57100.0,832.0,928.0,825.0,442.0
57200.0,831.0,929.0,825.0,442.0
57300.0,831.0,928.0,825.0,441.0
57400.0,832.0,929.0,826.0,441.0
57500.0,831.0,930.0,825.0,442.0
57600.0,831.0,929.0,826.0,442.0
57700.0,831.0,929.0,825.0,443.0
57800.0,831.0,929.0,825.0,442.0
57900.0,831.0,929.0,825.0,443.0
58000.0,832.0,928.0,826.0,442.0
58100.0,831.0,928.0,825.0,444.0
58200.0,831.0,929.0,825.0,444.0
58300.0,831.0,929.0,826.0,444.0
58400.0,832.0,929.0,826.0,444.0
58500.0,831.0,928.0,825.0,444.0
58600.0,831.0,929.0,825.0,444.0
58700.0,832.0,929.0,825.0,445.0
58800.0,831.0,928.0,826.0,443.0
58900.0,832.0,928.0,826.0,444.0
59000.0,832.0,930.0,826.0,445.0
59100.0,832.0,929.0,827.0,445.0
59200.0,831.0,929.0,826.0,445.0
59300.0,832.0,929.0,826.0,446.0
59400.0,831.0,929.0,826.0,445.0
59500.0,832.0,929.0,826.0,446.0
59600.0,831.0,929.0,826.0,445.0
59700.0,832.0,929.0,826.0,445.0
59800.0,831.0,929.0,827.0,446.0
59900.0,831.0,928.0,827.0,445.0
