timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,514.0,763.0,654.0,711.0
100.0,514.0,763.0,654.0,711.0
200.0,514.0,763.0,654.0,711.0
300.0,514.0,763.0,654.0,711.0
400.0,514.0,763.0,654.0,711.0
500.0,514.0,763.0,654.0,711.0
600.0,514.0,763.0,654.0,711.0
700.0,514.0,763.0,654.0,711.0
800.0,514.0,763.0,654.0,711.0
900.0,514.0,763.0,654.0,711.0
1000.0,514.0,763.0,654.0,711.0
1100.0,514.0,763.0,654.0,711.0
1200.0,514.0,763.0,654.0,711.0
1300.0,514.0,763.0,654.0,711.0
1400.0,514.0,763.0,654.0,711.0
1500.0,514.0,763.0,654.0,711.0
1600.0,514.0,763.0,654.0,711.0
1700.0,514.0,763.0,654.0,711.0
1800.0,514.0,763.0,654.0,711.0
1900.0,514.0,763.0,654.0,711.0
2000.0,514.0,763.0,654.0,711.0
2100.0,514.0,763.0,654.0,711.0
2200.0,514.0,763.0,654.0,711.0
2300.0,514.0,763.0,654.0,711.0
2400.0,514.0,763.0,654.0,711.0
2500.0,514.0,763.0,654.0,711.0
2600.0,514.0,763.0,654.0,711.0
2700.0,514.0,763.0,654.0,711.0
2800.0,514.0,763.0,654.0,711.0
2900.0,514.0,763.0,654.0,711.0
3000.0,514.0,763.0,654.0,711.0
3100.0,514.0,763.0,654.0,711.0
3200.0,514.0,763.0,654.0,711.0
3300.0,514.0,763.0,654.0,711.0
3400.0,514.0,763.0,654.0,711.0
3500.0,514.0,763.0,654.0,711.0
3600.0,514.0,763.0,654.0,711.0
3700.0,514.0,763.0,654.0,711.0
3800.0,514.0,763.0,654.0,711.0
3900.0,514.0,763.0,654.0,711.0
4000.0,514.0,763.0,654.0,711.0
4100.0,514.0,763.0,654.0,711.0
4200.0,514.0,763.0,653.5,711.0
4300.0,514.0,763.0,654.0,711.0
4400.0,514.0,763.0,653.5,711.0
4500.0,514.0,763.0,654.0,711.0
4600.0,514.0,763.0,654.0,711.0
4700.0,514.0,763.0,654.0,711.0
4800.0,514.0,763.0,654.0,711.0
4900.0,514.0,763.0,654.0,711.0
5000.0,514.0,763.0,654.0,711.0
5100.0,514.0,763.0,654.0,711.0
5200.0,514.0,763.0,654.0,711.0
5300.0,514.0,763.0,654.0,711.0
