timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,853.0,950.0,897.0,904.5
100.0,853.0,950.0,897.0,902.5
200.0,853.0,950.0,897.0,903.5
300.0,853.0,950.0,897.0,904.5
400.0,853.0,950.0,897.0,904.6
500.0,853.0,950.0,897.0,904.5
600.0,853.0,950.0,897.0,903.5
700.0,853.0,950.0,897.4,903.5
800.0,853.0,950.0,897.0,904.5
900.0,853.0,950.0,897.0,903.5
1000.0,853.0,950.0,897.0,904.5
1100.0,853.0,950.0,897.0,903.5
1200.0,853.0,950.0,897.0,904.5
1300.0,853.0,950.0,897.0,903.5
1400.0,853.0,950.0,897.0,904.5
1500.0,853.0,950.0,897.4,903.5
1600.0,853.0,950.0,897.0,904.5
1700.0,853.0,950.0,897.0,903.5
1800.0,853.0,950.0,897.0,903.5
1900.0,853.0,950.0,897.0,904.5
2000.0,853.0,950.0,897.4,903.5
2100.0,853.0,950.0,897.0,904.5
2200.0,853.0,950.0,897.0,904.5
2300.0,853.0,950.0,897.0,904.5
2400.0,853.0,950.0,897.0,904.5
2500.0,853.0,950.0,897.0,903.5
2600.0,853.0,950.0,897.0,903.5
2700.0,853.0,950.0,897.0,904.5
2800.0,853.0,950.0,897.4,903.5
2900.0,853.0,950.0,897.4,904.5
3000.0,853.0,950.0,897.0,903.5
3100.0,853.0,950.0,897.4,904.5
3200.0,853.0,950.0,897.0,903.5
3300.0,853.0,950.0,897.4,903.5
3400.0,853.0,950.0,897.0,903.5
3500.0,853.0,950.0,897.0,903.5
3600.0,853.0,950.0,897.0,903.5
3700.0,853.0,950.0,897.0,903.5
3800.0,853.0,950.0,897.0,903.5
3900.0,853.0,950.0,897.0,902.5
4000.0,853.0,950.0,897.0,903.5
4100.0,853.0,950.0,897.0,904.5
4200.0,853.0,950.0,897.0,902.5
4300.0,853.0,950.0,897.4,904.5
4400.0,853.0,950.0,897.4,903.5
4500.0,853.0,950.0,897.0,902.5
4600.0,853.0,950.0,897.0,902.5
4700.0,853.0,950.0,897.0,903.5
4800.0,853.0,950.0,897.0,902.5
4900.0,853.0,950.0,897.0,904.5
5000.0,853.0,950.0,897.0,902.5
5100.0,853.0,950.0,897.0,903.5
5200.0,853.0,950.0,897.0,903.5
5300.0,853.0,950.0,897.0,902.6
5400.0,853.0,950.0,897.0,902.5
5500.0,853.0,950.0,897.0,902.5
5600.0,853.0,950.0,897.0,902.5
5700.0,853.0,950.0,897.0,902.5
5800.0,853.0,950.0,897.0,903.5
5900.0,853.0,950.0,897.0,902.5
6000.0,853.0,950.0,897.0,903.5
6100.0,853.0,950.0,897.0,903.6
6200.0,853.0,950.0,897.0,903.5
6300.0,853.0,950.0,897.0,903.5
6400.0,853.0,950.0,897.4,901.5
6500.0,853.0,950.0,897.0,902.5
6600.0,853.0,950.0,897.0,902.5
6700.0,853.0,950.0,897.4,903.5
6800.0,853.0,950.0,897.0,903.5
6900.0,853.0,950.0,897.0,902.5
7000.0,853.0,950.0,897.0,903.5
7100.0,853.0,950.0,897.0,901.5
7200.0,853.0,950.0,897.0,903.5
7300.0,853.0,950.0,897.0,903.5
7400.0,853.0,950.0,897.0,903.5
7500.0,853.0,950.0,897.0,902.5
7600.0,853.0,949.3,897.0,901.5
7700.0,853.0,950.0,897.0,902.5
7800.0,853.0,950.0,897.0,902.5
7900.0,853.0,949.3,897.0,902.5
8000.0,853.0,950.0,897.0,902.5
8100.0,853.0,950.0,897.4,903.5
8200.0,853.0,950.0,897.0,903.5
8300.0,853.0,950.0,897.0,902.5
8400.0,853.0,950.0,897.0,902.5
8500.0,853.0,950.0,897.0,902.6
8600.0,853.0,950.0,897.0,903.5
8700.0,853.0,950.0,897.0,902.5
8800.0,853.0,950.0,897.4,902.5
8900.0,853.0,950.0,897.0,903.5
9000.0,853.0,950.0,897.0,903.5
9100.0,853.0,950.0,897.0,901.5
9200.0,853.0,950.0,897.0,902.5
9300.0,853.0,950.0,897.0,902.5
9400.0,853.0,950.0,897.0,902.5
9500.0,853.0,950.0,897.0,903.5
9600.0,853.0,950.0,897.0,902.5
9700.0,853.0,950.0,897.0,902.5
9800.0,853.0,950.0,897.0,902.5
9900.0,853.0,950.0,897.0,902.5
10000.0,853.0,950.0,897.0,903.5
10100.0,853.0,950.0,897.0,902.6
10200.0,853.0,950.0,897.0,903.6
10300.0,853.0,950.0,897.4,903.5
10400.0,853.0,950.0,897.0,901.5
10500.0,853.0,950.0,897.4,902.5
10600.0,853.0,950.0,897.0,903.5
10700.0,853.0,950.0,897.0,902.5
10800.0,853.0,950.0,897.0,901.5
10900.0,853.0,950.0,897.0,901.5
11000.0,853.0,950.0,897.0,903.5
11100.0,853.0,950.0,897.0,902.5
11200.0,853.0,950.0,897.0,902.5
11300.0,853.0,950.0,897.0,903.5
11400.0,853.0,950.0,897.0,902.5
11500.0,853.0,950.0,897.0,902.5
11600.0,853.0,950.0,897.0,902.6
11700.0,853.0,950.0,897.0,902.5
11800.0,853.0,950.0,897.0,902.5
11900.0,853.0,950.0,897.0,902.5
12000.0,853.0,950.0,897.0,902.5
12100.0,853.0,950.0,897.0,902.5
12200.0,853.0,950.0,897.0,901.5
12300.0,853.0,950.0,897.0,901.6
12400.0,853.0,950.0,897.0,902.5
12500.0,853.0,950.0,897.0,902.5
12600.0,853.0,950.0,897.0,902.5
12700.0,853.0,950.0,897.0,902.5
12800.0,853.0,950.0,897.0,902.5
12900.0,853.0,950.0,897.0,901.5
13000.0,853.0,950.0,897.0,902.5
13100.0,853.0,950.0,897.0,902.5
13200.0,853.0,950.0,897.0,902.5
13300.0,853.0,949.3,897.0,902.5
13400.0,853.0,950.0,897.0,901.5
13500.0,853.0,950.0,897.0,901.5
13600.0,853.0,950.0,897.0,902.5
13700.0,853.0,950.0,897.0,901.5
13800.0,853.0,950.0,897.0,901.5
13900.0,853.0,950.0,897.0,901.5
14000.0,853.0,950.0,897.0,902.5
14100.0,853.0,950.0,897.0,901.5
14200.0,853.0,949.3,897.0,902.5
14300.0,853.0,950.0,897.0,902.5
14400.0,853.0,950.0,897.0,902.5
14500.0,853.0,950.0,897.0,902.5
14600.0,853.0,950.0,897.0,902.5
14700.0,853.0,950.0,897.0,903.5
14800.0,853.0,950.0,897.0,901.5
14900.0,853.0,950.0,897.0,902.5
15000.0,853.0,950.0,897.0,902.5
15100.0,853.0,950.0,897.0,903.5
15200.0,853.0,950.0,897.0,902.5
15300.0,853.0,950.0,897.0,902.5
15400.0,853.0,950.0,897.0,902.5
15500.0,853.0,950.0,897.0,902.5
15600.0,853.0,950.0,897.0,901.5
15700.0,853.0,950.0,897.0,902.5
15800.0,853.0,950.0,897.0,902.5
15900.0,853.0,950.0,897.0,903.5
16000.0,853.0,950.0,897.0,903.5
16100.0,853.0,950.0,897.0,902.5
16200.0,853.0,950.0,897.0,902.5
16300.0,853.0,950.0,897.0,902.5
16400.0,853.0,950.0,897.0,902.5
16500.0,853.0,950.0,897.0,903.5
16600.0,853.0,950.0,897.0,902.5
16700.0,853.0,950.0,897.0,902.5
16800.0,853.0,950.0,897.0,902.5
16900.0,853.0,950.0,897.0,902.5
17000.0,853.0,950.0,897.0,902.5
17100.0,853.0,950.0,897.0,902.5
17200.0,853.0,950.0,897.0,901.5
17300.0,853.0,950.0,897.0,902.5
17400.0,853.0,950.0,897.0,902.5
17500.0,853.0,950.0,897.0,901.5
17600.0,853.0,950.0,897.0,902.5
17700.0,853.0,950.0,897.0,902.5
17800.0,853.0,950.0,897.0,902.5
17900.0,853.0,950.0,897.0,902.5
18000.0,853.0,950.0,897.0,901.6
18100.0,853.0,950.0,897.0,901.5
18200.0,853.0,950.0,897.0,901.5
18300.0,853.0,950.0,897.0,902.5
18400.0,853.0,950.0,897.0,901.5
18500.0,853.0,950.0,897.0,902.5
18600.0,853.0,950.0,897.0,902.5
18700.0,853.0,950.0,897.0,902.5
18800.0,853.0,950.0,897.0,902.5
18900.0,853.0,950.0,897.0,902.5
19000.0,853.0,950.0,897.0,901.5
19100.0,853.0,950.0,897.0,902.5
19200.0,853.0,950.0,897.0,901.5
19300.0,853.0,950.0,897.0,901.5
19400.0,853.0,950.0,897.0,901.5
19500.0,853.0,950.0,897.0,902.5
19600.0,853.0,950.0,897.0,902.6
19700.0,853.0,950.0,897.0,902.5
19800.0,853.0,950.0,897.0,901.5
19900.0,853.0,950.0,897.0,901.5
20000.0,853.0,950.0,897.0,901.5
20100.0,853.0,950.0,897.0,902.5
20200.0,853.0,950.0,897.0,902.5
20300.0,853.0,950.0,897.0,901.5
20400.0,853.0,950.0,897.0,902.6
20500.0,853.0,950.0,897.0,901.5
20600.0,853.0,950.0,897.0,902.5
20700.0,853.0,950.0,897.0,901.5
20800.0,853.0,950.0,897.0,902.5
20900.0,853.0,950.0,897.0,901.5
21000.0,853.0,950.0,897.0,902.5
21100.0,853.0,950.0,897.0,902.5
21200.0,853.0,949.3,897.0,902.5
21300.0,853.0,950.0,897.0,902.5
21400.0,853.0,950.0,897.0,901.5
21500.0,853.0,950.0,897.0,901.5
21600.0,853.0,949.3,897.0,902.5
21700.0,853.0,950.0,897.0,901.5
21800.0,853.0,950.0,897.0,902.6
21900.0,853.0,950.0,897.0,902.5
22000.0,853.0,950.0,897.0,901.5
22100.0,853.0,950.0,897.0,902.5
22200.0,853.0,950.0,897.0,902.5
22300.0,853.0,950.0,897.0,902.5
22400.0,853.0,950.0,897.0,902.5
22500.0,853.0,949.3,897.0,901.5
22600.0,853.0,950.0,897.0,901.5
22700.0,853.0,950.0,897.0,902.5
